PULocationID,pickup_count,trip_distance_average,minutes_average,total_amount_average
138,2120637,9.156479636774462,31.07035729016329,42.51214559048877
139,3096,11.73020383435349,33.06880005489112,42.08636463364049
140,1487783,2.4385254946543227,12.821663415292674,16.721730207398625
141,1939068,1.9701475318246722,10.934917652537827,14.913386329610553
142,2510308,2.1533135473890685,12.357909643809869,15.965251833191486
143,973586,2.1230732028065504,11.895244783461557,15.6273392478043
144,810521,2.536324207512822,14.649456024095954,17.620422826288028
145,68658,3.9852106348522285,16.8638499100601,32.67415884878778
146,71372,3.0736246197122803,13.82723725687584,16.493270327115763
147,2410,8.380359552724062,30.80451075170504,34.97608971006233
148,1018215,2.9291627444820336,13.672461875325512,18.219204682894134
149,3072,8.195465465020078,30.33897202586218,33.25879968342198
150,1341,9.249094662052139,28.866020586806115,37.96881645617763
151,730611,2.3103794429833306,11.668008209337193,14.87208822042278
152,80881,2.7906512138715835,12.522906049159255,15.027100013016968
153,1822,6.16560126925187,20.55082048860672,26.266791160092946
154,359,10.224743722765211,27.546457381730345,48.268960648267154
155,4572,8.337573278120393,28.945613143621873,33.49545870668882
156,143,11.388243386243387,27.283247905643737,58.89677513227513
157,6907,6.4159373204723975,22.823227220927322,50.30403751360986
158,834638,2.54950293111728,14.320978793098602,17.759872045822085
159,7670,4.768373023327984,20.668864051054157,22.091390412055773
160,2248,6.475264676464604,23.294155523246626,31.89191922006691
161,3415263,2.374745588277637,14.609739191036596,17.831651231095407
162,3016495,2.3585902838051793,13.691767946195801,17.44682540822144
163,2232538,2.444408871471174,14.585263367992388,17.888519719516708
164,1936695,2.3821364924547908,13.522273846196134,17.372085746605098
165,5670,6.890043332723898,29.04590217734872,29.992622019794812
166,452411,2.66886748090949,13.31471103222915,16.116633632076432
167,3797,6.081402511922822,24.984631515796796,26.79516461673234
168,16612,4.629002526457572,18.064605801932707,21.43931251212884
169,3819,7.371953635517847,27.251102943421632,30.899211347991912
170,2575771,2.2914736634347252,13.3148730660662,17.226711853286716
171,2276,9.442860547902834,32.996726344461166,38.742779434538356
172,49,9.889424603174604,31.40463624338624,43.45578968253968
173,3289,5.029659101063923,19.218254688718513,22.634026052072073
174,3123,7.637661511638174,26.23026539940827,30.96776056538485
175,1345,9.295574734595567,27.979924039601443,37.67140125945639
176,22,11.211749999999999,32.477916666666665,45.26416666666667
177,5935,6.899716006610048,28.82136419717205,30.446993423575737
178,1400,6.302971265883837,26.75539365642524,27.722546171617548
179,42143,3.1316119118299977,13.45127367148847,15.83998258235043
180,1686,8.11879120902107,31.637619099334074,38.876087742304
181,66195,3.4971901229093163,15.86767936153989,18.15646034307053
182,4505,8.331567150937477,28.060964544986934,33.83484179730642
183,1189,9.8995479088395,32.17920996490684,38.3979693139731
184,182,9.1708655002405,24.79544282106782,45.79855122655123
185,2321,6.456141098667309,24.078453664373097,28.02433610613443
186,2996291,2.2990943561464707,15.643865494748503,17.798854602101287
187,56,10.73061507936508,27.30082671957672,46.39790178571428
188,14962,5.517804437092164,25.106464623790686,25.446914501332515
189,15177,3.616705355643925,16.86818502372088,18.895361098911405
190,3375,4.1563502537211,19.428427145395915,20.768990662895746
191,4120,11.874708211207775,31.622729931193458,43.90697021398844
192,1395,6.4852527738303145,22.39371369378688,27.50573953773519
