DOLocationID,dropoff_count,trip_distance_average,minutes_average,total_amount_average
82,12,6.692560469231794,23.816734783675198,27.361046440604884
83,12,5.696167634538632,21.02832182379466,24.923215986396198
84,12,21.82937155117571,49.20671643694126,85.4134476015242
85,12,9.827701815724936,36.613038827325845,38.92732128356115
86,12,12.59118544916945,37.18390231414124,44.88618382101256
87,12,4.567813624126085,18.434029284752537,23.809112149184628
88,12,4.989395376534231,18.550655049591594,24.52724766940547
89,12,10.672474533302136,34.34423764372665,42.1965630641695
90,12,1.9694966561254523,11.641771763689585,15.512986588794545
91,12,11.475274801964682,37.08134179492822,42.055516057931996
92,12,8.655330994700998,25.89987254252776,32.88986883985793
93,12,8.107908909129895,20.344964587421988,28.69105447643174
94,12,9.912069243833205,31.1146039805336,36.911025309220335
95,12,8.218987486672154,26.248342476911755,34.06198973870065
96,12,9.868168360534964,30.979760125481324,38.945738876362235
97,12,5.7456742640729965,23.6288105620538,27.285886824914982
98,12,10.561367549611866,29.698430610438,37.93093506583545
99,12,19.54703935185185,50.92305500440917,76.87726256613756
100,12,2.1744932859125012,15.010506076386378,17.385934537254712
101,12,13.606599402072904,33.7316761904961,46.42440870957973
102,12,8.728218359280415,30.221204936411684,34.93690392989394
105,12,3.6997113095238094,17.56676201499118,21.167734788359788
106,12,7.006473164027535,26.40274210068873,32.058350476248215
107,12,2.0659717693833968,11.656666923756895,15.811922890095792
108,12,14.412700993000835,35.7245335573255,49.00522780938658
109,12,19.73551737383016,49.529573628866494,83.16509486262872
110,3,17.018333333333334,48.80555555555555,80.16000000000001
111,12,8.909421283167736,27.96924483072237,37.70024365384254
112,12,5.907433945085168,22.010738818322693,28.263206955304025
113,12,2.103513721153968,12.632410461255944,16.116410926950767
114,12,2.1389559434473298,12.932017758235178,16.19264572681825
115,12,18.120038584795918,38.969135244433346,70.88757966876277
116,12,5.114754869492484,18.378938286387868,23.65700235941738
117,12,14.986374120544022,44.06933460454247,53.67766710625031
118,12,18.66715563402671,42.95640145972191,76.79717677675264
119,12,7.707331159309334,24.521899502869076,30.291430064671832
120,12,7.6882690432406156,22.888468565479723,30.767786724154053
121,12,9.196118500338649,26.995315600404073,34.76977832926351
122,12,10.62419529108931,31.607590464734674,38.79780110770326
123,12,12.931506731800562,35.85675390874952,46.50667488235616
124,12,8.634269647588404,27.214016860359774,32.95516394462423
125,12,2.7078104924961157,14.666816195918129,18.097316777708357
126,12,8.342075815790958,26.318161418849755,32.70145780205179
127,12,9.372298332409848,24.31666981560728,36.05775530003619
128,12,8.891486069769346,23.917350738528686,34.735874391528775
129,12,5.581489306799397,21.105740834072673,24.856434466727404
130,12,7.637233306043277,23.086796040761552,28.824190522660444
131,12,10.61161555216122,29.595238805993944,38.931199243684894
132,12,16.327012169741312,45.30283470166111,64.16873483236971
133,12,10.609442977367696,31.146444478207723,42.02995041492928
134,12,8.287160144792715,24.40736835185636,32.36963940907318
135,12,8.617199301637436,24.873178538423346,32.74759210986202
136,12,10.154285568161663,30.218765625483254,38.077857886028916
137,12,2.0288863693689794,11.393713423532285,15.422171859608923
138,12,10.079041672945179,30.654601123547852,46.41046801909494
139,12,8.603625832962356,23.842639261185795,30.48586269165519
140,12,2.2335016972154285,12.658176252334712,16.242917813909973
141,12,1.9883166074093743,11.086941711240955,15.161957844462835
142,12,2.0275903554252155,11.805219641899539,15.506300127459964
143,12,2.141442999622258,12.037267505859006,15.846469655057147
144,12,2.594582104281663,15.776318377617272,18.186199784452395
145,12,5.173634642069095,19.412826944780132,26.168676523180537
146,12,4.826170634565796,19.056524101442786,23.013098099628422
147,12,8.11765772273961,27.1098975675703,32.045600166504755
148,12,2.8105081733815314,15.515233106197405,18.771146571529425
149,12,13.079693911534298,37.79321329916943,47.036023867716516
150,12,15.170189994806902,35.50189256119949,51.15959075258027
151,12,2.6479076472569516,12.033103406825768,16.27172121917034
152,12,3.6909646458455962,14.734850694886363,18.58447122346139
153,12,10.285519441888333,29.019573379044306,39.27284046810551
154,12,13.325425288437671,30.569951536802986,44.12777120915573
155,12,12.75174041953602,35.12033615470726,44.62114298327387
156,12,19.075432749617665,41.24999761603975,76.50527805583539
157,12,7.544386362001855,23.569001689558377,30.220215455239522
158,12,2.265078410330059,13.323781082463556,16.614599766799873
159,12,6.017974376720946,22.21733447201811,25.516205813259514
160,12,8.033253948917869,26.570217586982434,33.37519229951325
161,12,2.0963493098503414,14.006949382338226,16.75667797140245
162,12,2.274044599786193,13.536994952005259,17.1186764269771
163,12,2.28348371917594,14.28752427271983,17.152416424503112
164,12,2.4164041177560294,14.63275402636576,18.082974563327056
165,12,12.11401364670085,37.503198612459364,45.51499113120286
166,12,3.00178061384347,13.26416005529718,17.148387579102433
167,12,7.7871576579426955,27.26992891965419,31.04084508350951
168,12,5.401327401789726,18.831701364023463,23.536395058968285
169,12,9.313408582093262,29.451377654685658,35.33781882098145
170,12,2.0865626342287573,12.660742905929645,16.506700030047977
171,12,10.279817006602945,29.616130362629907,38.18530877927896
172,12,19.376632135829116,46.37863866972057,80.61313568743695
173,12,6.694440457270627,24.81959942845673,27.192863954636852
174,12,12.258813417163857,32.01421881204816,44.425875769224426
175,12,12.457805633653832,30.336091812053926,43.47539121145012
176,12,19.354269212901148,49.71967604588732,83.6453523783993
177,12,8.383070359248693,32.28206331332405,34.195171336930834
178,12,12.536389032445536,36.35054107747216,46.27711455476023
179,12,5.061315788090187,19.112531698403686,23.673479595995484
180,12,8.145697290811746,26.20235004185479,31.53781568576441
181,12,7.585855485608295,29.389683196895774,34.68107938644917
182,12,11.250446069518548,32.43468442735488,41.745883663066905
183,12,12.766983814483831,32.72839545309275,46.11541686377246
184,12,12.756714643899665,31.676303892587793,46.40373220121236
185,12,12.157725968178262,31.86971588254646,44.63448405702837
186,12,1.9410000058562504,13.73706649068542,16.21853167239664
187,12,18.791398246753797,43.07074474802857,76.38350555506764
188,12,8.649119855214709,33.68580789021541,36.608328686249315
189,12,7.205780379439876,29.657287597291553,33.13477800281096
190,12,7.089908254819309,29.34410902191261,32.78762466287787
191,12,11.696246617404924,30.830837191274473,40.32258615971541
192,12,8.674758679745716,24.622980489221657,33.10745326035403
193,12,3.8095865907096473,15.128860924230944,17.796330697281743
194,12,6.885342237071118,21.422250503675553,35.53043101640338
195,12,6.622345040516148,23.995426388044567,30.166995426625366
196,12,8.016609998313736,26.011343869019935,32.644404014787206
197,12,8.444990092227526,25.728558876992015,32.390580148444194
198,12,7.737251079371052,28.635729456915787,32.70618189816391
199,4,4.7296875,18.77552083333333,23.440625
200,12,12.284300264149278,30.41184865295051,47.80030827183392
201,12,15.875826880214381,37.280003064225674,56.14358616108976
202,12,5.987958032744053,23.05271664710366,27.959718785584826
203,12,8.380592405181135,22.301881475802073,29.57807671596351
204,12,21.84350622294372,36.19065115440115,88.56536282467533
205,12,8.923829238981034,28.458256292578643,33.20071492672679
206,12,18.510343722801107,44.97157334835546,74.77660251992266
207,12,4.540358905317364,16.34278502279149,20.65951099907843
208,12,12.46518068906411,30.782440628097984,46.117374672113385
209,12,4.351000929117742,17.955023701881355,23.033657382686588
