PULocationID,pickup_count,trip_distance_average,minutes_average,total_amount_average
99,10,10.3732,28.502999999999997,39.54653333333333
100,12,2.372983945198364,14.041135936705151,17.21184102881568
101,12,12.172063077592597,29.704272760690895,42.56167125027332
102,12,6.714527505939646,26.048043908606747,30.18572531183324
104,1,8.18,18.883333333333333,31.56
105,12,4.361498346560847,18.766320697049863,23.078395923520926
106,12,3.827055909646542,15.761640271134473,19.38358933437861
107,12,2.194104701190947,12.730510554249014,16.41109167121184
108,12,8.505530297023075,27.137713853088524,34.00721396338024
109,10,5.57022619047619,18.602202380952384,24.821035714285713
111,12,3.6045077897248947,15.432481741577137,19.786307437202172
112,12,3.6209708916422314,15.3387369074698,18.43185031474941
113,12,2.135071210165613,13.228714890492315,16.312300553764338
114,12,2.3822279213345756,13.264516258908024,16.855985703843555
115,12,12.930504511813723,36.369848538401165,51.7876103999558
116,12,3.241688892209403,13.875709422292795,16.537977084684524
117,12,13.971875764838598,42.37181647592379,50.589447333679054
118,12,9.333303479894486,31.312016677672048,38.71987286172197
119,12,6.74645546806446,23.497326523295072,28.768453071706812
120,12,5.681889019495736,16.959104415013705,34.61801208170866
121,12,7.8254893996952815,25.962322600990458,33.00109455536478
122,12,10.740564844400694,32.63805513064289,41.49256907929489
123,12,6.16401217992975,25.56043631941326,27.90023069701789
124,12,9.98610338474876,30.655483823060212,40.622004391452954
125,12,2.5489159799383647,13.77411931174504,17.69408306026457
126,12,6.6670482712661014,25.188919603495332,29.163442676317658
127,12,4.760784308992021,16.64126098318138,21.156463517724642
128,12,6.8146683342557175,21.774109068427865,28.174719993571713
129,12,3.858789573717269,15.17287200292524,18.450979138286414
130,12,11.033045618611837,31.685843726600734,52.241869940341815
131,12,8.914448556759737,27.617581385103346,35.89917794660662
132,12,15.28355701785884,39.64004612632399,55.29681572345089
133,12,5.551008617074735,22.090151027944582,25.375272161744636
134,12,7.587410257910236,22.339246489375252,42.23939891095589
135,12,8.463025874191041,25.975222071274587,33.91457380106096
136,12,7.744911494478784,27.693009070422193,32.33313622734915
137,12,2.351621358863824,12.430588854991731,16.375109198285276
